Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:2d88:6949:d249:2df3:774b:61e6,Arizona,2022-03-17T22:19:43.357Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,24.251.110.24,Arizona,2022-03-15T04:20:00.089Z
SSTV-NKL2-0000000000000004927643,US,Samsung CE 2020 Nike-L UHD TV Smart TV,Samsung CE 2020 Nike-L UHD TV Smart TV,24.251.110.24,Arizona,2022-03-13T01:42:02.023Z
LGTV20194=41013791950,US,LG 2019 Mstar M3R Standard DTV Smart TV,LG 2019 Mstar M3R Standard DTV Smart TV,72.214.215.25,Arizona,2022-02-26T00:37:45.023Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,72.214.215.25,Arizona,2022-02-26T00:26:27.047Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b9:5a89:3e26:d90:b292:c8e3,Arizona,2022-01-03T01:15:24.236Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,24.251.110.24,Arizona,2021-12-31T04:51:25.278Z
SSTV-NKL2-0000000000000004927643,US,Samsung CE 2020 Nike-L UHD TV Smart TV,Samsung CE 2020 Nike-L UHD TV Smart TV,24.251.110.24,Arizona,2021-12-28T14:04:53.385Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,24.251.110.24,Arizona,2021-12-28T03:28:28.929Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b5:62c6:9aac:dba7:34a5:7922,Arizona,2021-12-28T01:25:44.462Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,24.251.110.24,Arizona,2021-12-27T10:47:46.361Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5ca:688:ce0f:b93e:993d:5741,Arizona,2021-12-27T01:16:35.295Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b6:f7fd:7f0d:8c79:cf10:6e9,Arizona,2021-12-22T01:45:40.495Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,24.251.110.24,Arizona,2021-12-16T11:44:29.500Z
NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,US,Amazon TVAFTBL Smart TV,Amazon TVAFTBL Smart TV,24.251.110.24,Arizona,2021-12-15T17:29:09.060Z
LGTV20203=31012608675,US,LG DTV 2020 RTK K6Lp UHD TV Smart TV,LG DTV 2020 RTK K6Lp UHD TV Smart TV,24.251.110.24,Arizona,2021-12-14T21:50:07.201Z
LGTV20203=31012608675,US,LG DTV 2020 RTK K6Lp UHD TV Smart TV,LG DTV 2020 RTK K6Lp UHD TV Smart TV,68.2.124.173,Arizona,2021-12-14T17:37:21.800Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,68.2.124.173,Arizona,2021-12-14T11:17:47.989Z
