Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Stephen,US,Smart TV,0,ros,Charmed,view_video_info,suggestion_title_results,2019-10-30 17:00:42
Stephen,US,Smart TV,0,ros,Roswell,view_suggestion_info,suggestion_results,2019-10-30 17:00:21
Stephen,US,Smart TV,0,ocea,Ocean's Eleven,view_suggestion_info,suggestion_results,2019-10-26 02:28:02
Stephen,US,Smart TV,0,ron,Bert Kreischer: Secret Time,play,video_info,2019-10-25 01:43:50
Stephen,US,Smart TV,0,ron,Bert Kreischer: Secret Time,view_video_info,suggestion_title_results,2019-10-25 01:43:49
Stephen,US,Smart TV,0,ron,Ron White,view_suggestion_info,suggestion_results,2019-10-25 01:43:46
Stephen,US,Smart TV,0,ber,Bert Kreischer,view_suggestion_info,suggestion_results,2019-10-25 01:42:42
Stephen,US,Smart TV,0,al,Altered Carbon,view_video_info,title_results,2019-08-18 20:53:01
Stephen,US,Smart TV,0,al,Altered Carbon,play,video_info,2019-08-18 20:53:01
Stephen,US,Android Phone,0,sham,Shameless (U.S.),play,video_info,2019-08-08 02:51:00
Stephen,US,Android Phone,0,sham,Shameless (U.S.),view_video_info,title_results,2019-08-08 02:40:48
Stephen,US,Smart TV,0,cl,The Cloverfield Paradox,view_video_info,title_results,2019-07-28 03:34:36
Stephen,US,Smart TV,0,cl,The Cloverfield Paradox,play,video_info,2019-07-28 03:34:36
Stephen,US,MVPD STB,0,mir,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-26 06:16:05
Stephen,US,MVPD STB,0,mir,Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-26 06:16:05
Stephen,US,Smart TV,0,m,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-20 17:03:46
Stephen,US,Smart TV,0,m,Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-20 17:03:46
Stephen,US,Smart TV,0,m,Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-13 17:20:15
Stephen,US,Smart TV,0,m,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-13 17:20:15
Stephen,US,Smart TV,0,mi,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-13 17:19:17
Stephen,US,Smart TV,0,lady,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-13 07:17:38
Stephen,US,Smart TV,0,lady,Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-13 07:17:38
Stephen,US,Smart TV,0,c,Bill Burr: Let It Go,play,video_info,2019-06-08 05:01:47
Stephen,US,Smart TV,0,c,Bill Burr: Let It Go,view_video_info,suggestion_title_results,2019-06-08 05:01:47
Stephen,US,Smart TV,0,c,Stand-Up Comedy,view_suggestion_info,suggestion_results,2019-06-08 05:01:21
Stephen,US,Smart TV,0,comedy,Louis C.K. 2017,view_video_info,suggestion_title_results,2019-06-07 02:35:55
Stephen,US,Smart TV,0,comedy,Louis C.K. 2017,play,video_info,2019-06-07 02:35:55
Stephen,US,Smart TV,0,comedy,Stand-Up Comedy,view_suggestion_info,suggestion_results,2019-06-07 02:35:40
Stephen,US,Smart TV,0,mira,Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-06 19:07:52
Stephen,US,Smart TV,0,mira,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-06 19:07:52
Stephen,US,Smart TV,0,lad,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-06 18:42:05
Stephen,US,Smart TV,0,lad,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-06 18:42:05
Stephen,US,Smart TV,0,mir,Miraculous: Tales of Ladybug & Cat Noir,view_video_info,title_results,2019-06-06 06:21:46
Stephen,US,Smart TV,0,mir,Miraculous: Tales of Ladybug & Cat Noir,play,video_info,2019-06-06 06:21:46
Stephen,US,Smart TV,0,oc,Octonauts,view_video_info,title_results,2019-05-30 04:44:39
Stephen,US,Smart TV,0,oc,Octonauts,play,video_info,2019-05-30 04:44:39
Stephen,US,Smart TV,0,oc,Octonauts,play,video_info,2019-05-29 21:44:59
Stephen,US,Smart TV,0,oc,Octonauts,view_video_info,title_results,2019-05-29 21:44:59
Stephen,US,Smart TV,0,oc,Octonauts,play,video_info,2019-05-23 16:59:10
Stephen,US,Smart TV,0,oc,Octonauts,view_video_info,title_results,2019-05-23 16:59:10
Stephen,US,Smart TV,0,oc,Octonauts,view_video_info,title_results,2019-05-23 05:20:43
Stephen,US,Smart TV,0,oc,Octonauts,play,video_info,2019-05-23 05:20:43
Stephen,US,Smart TV,0,cha,Charmed,play,video_info,2019-05-20 07:25:00
Stephen,US,Smart TV,0,cha,Charmed,view_video_info,title_results,2019-05-20 07:25:00
Stephen,US,Android Phone,0,captain,Captain America: Civil War,view_suggestion_info,suggestion_results,2019-04-16 15:24:28
Stephen,US,Android Phone,0,charmed,Charmed,view_video_info,title_results,2019-03-20 05:14:32
Stephen,US,Smart TV,0,co,Coraline,view_video_info,title_results,2019-03-12 03:17:42
Stephen,US,Smart TV,0,co,Coraline,play,video_info,2019-03-12 03:17:42
Stephen,US,Smart TV,0,co,Coraline,view_video_info,title_results,2019-03-12 03:17:11
Stephen,US,Smart TV,0,co,Coraline,play,video_info,2019-03-12 03:17:11
Stephen,US,Android Phone,0,frozen,Walt Disney Animation Studios Short Films Collection,view_video_info,title_results,2019-03-12 03:11:33
Stephen,US,Smart TV,0,froz,Frozen,view_suggestion_info,suggestion_results,2019-03-12 03:10:37
Stephen,US,Smart TV,0,stand,Iliza Shlesinger: Freezing Hot,view_video_info,suggestion_title_results,2019-02-20 03:36:27
Stephen,US,Smart TV,0,stand,Iliza Shlesinger: Freezing Hot,play,video_info,2019-02-20 03:36:27
Stephen,US,Smart TV,0,stand,Bert Kreischer: Secret Time,play,video_info,2019-02-20 03:36:10
Stephen,US,Smart TV,0,stand,Bert Kreischer: Secret Time,view_video_info,suggestion_title_results,2019-02-20 03:36:10
Stephen,US,Smart TV,0,stand,The Standups,view_video_info,suggestion_title_results,2019-02-20 03:35:15
Stephen,US,Smart TV,0,stand,The Standups,play,video_info,2019-02-20 03:35:15
Stephen,US,Smart TV,0,stand,Stand-Up Comedy,view_suggestion_info,suggestion_results,2019-02-20 03:35:04
Stephen,US,Smart TV,0,bill,Bill Burr: You People Are All the Same,play,video_info,2019-01-07 02:48:24
Stephen,US,Smart TV,0,bill,Bill Burr: You People Are All the Same,view_video_info,suggestion_title_results,2019-01-07 02:48:24
Stephen,US,Smart TV,0,bill,Bill Burr: I'm Sorry You Feel That Way,view_video_info,suggestion_title_results,2019-01-07 02:45:10
Stephen,US,Smart TV,0,bill,Bill Burr: I'm Sorry You Feel That Way,play,video_info,2019-01-07 02:45:10
Stephen,US,Smart TV,0,bill,Bill Burr,view_suggestion_info,suggestion_results,2019-01-07 02:44:57
Stephen,US,Smart TV,0,jim,Jim Jefferies: This Is Me Now,play,video_info,2018-12-31 07:11:28
Stephen,US,Smart TV,0,jim,Jim Jefferies: This Is Me Now,view_video_info,title_results,2018-12-31 07:11:28
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:26:47
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:26:47
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:25:57
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:25:57
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:24:51
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:24:51
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:24:41
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:24:41
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:24:16
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:24:16
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:23:47
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:23:47
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:22:34
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:22:34
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:22:16
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:22:16
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:22:03
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:22:03
Stephen,US,Smart TV,0,br,,play,video_info,2018-12-31 05:21:23
Stephen,US,Smart TV,0,br,,view_video_info,title_results,2018-12-31 05:21:23
Stephen,US,Smart TV,0,br,Bright,play,video_info,2018-12-31 03:12:04
Stephen,US,Smart TV,0,br,Bright,play,title_results,2018-12-31 03:04:14
Stephen,US,Smart TV,0,bill,Jim Jefferies: This Is Me Now,view_video_info,suggestion_title_results,2018-12-09 20:30:51
Stephen,US,Smart TV,0,bill,Jim Jefferies: This Is Me Now,play,video_info,2018-12-09 20:30:51
Stephen,US,Smart TV,0,bill,Bill Burr: Let It Go,play,video_info,2018-12-09 19:27:42
Stephen,US,Smart TV,0,bill,Bill Burr: Let It Go,view_video_info,suggestion_title_results,2018-12-09 19:27:42
Stephen,US,Smart TV,0,bill,Bill Burr,view_suggestion_info,suggestion_results,2018-12-09 19:27:37
Stephen,US,Smart TV,0,bill,Bill Burr: I'm Sorry You Feel That Way,play,video_info,2018-12-09 05:36:15
Stephen,US,Smart TV,0,bill,Bill Burr: I'm Sorry You Feel That Way,view_video_info,title_results,2018-12-09 05:36:15
Stephen,US,Smart TV,0,bill,Bill Burr: Walk Your Way Out,view_video_info,suggestion_title_results,2018-12-08 07:20:00
Stephen,US,Smart TV,0,bill,Bill Burr: Walk Your Way Out,play,video_info,2018-12-08 07:20:00
Stephen,US,Android Phone,0,bill burr,Bill Burr: Walk Your Way Out,play,video_info,2018-12-08 07:18:23
Stephen,US,Android Phone,0,bill burr,Bill Burr: Walk Your Way Out,view_video_info,title_results,2018-12-08 07:14:30
Stephen,US,Smart TV,0,bill,Bill Burr: You People Are All the Same,play,video_info,2018-12-08 05:54:12
Stephen,US,Smart TV,0,bill,Bill Burr: You People Are All the Same,view_video_info,suggestion_title_results,2018-12-08 05:54:12
Stephen,US,Smart TV,0,bill,Bill Burr,view_suggestion_info,suggestion_results,2018-12-08 05:54:10
Stephen,US,Smart TV,0,al,Altered Carbon,play,video_info,2018-10-28 22:02:41
Stephen,US,Smart TV,0,al,Altered Carbon,view_video_info,title_results,2018-10-28 22:02:40
Stephen,US,Smart TV,0,al,Altered Carbon,play,video_info,2018-10-28 19:31:36
Stephen,US,Smart TV,0,al,Altered Carbon,view_video_info,title_results,2018-10-28 19:31:36
Stephen,US,,0,synch,Synchronicity,play,video_info,2018-10-11 03:14:50
Stephen,US,,0,synch,Synchronicity,view_video_info,title_results,2018-10-11 03:14:48
Stephen,US,,0,bert kr,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,play,video_info,2018-09-17 14:23:55
Stephen,US,,0,bert kr,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,view_video_info,title_results,2018-09-17 14:23:55
Stephen,US,,0,bert kr,Bert Kreischer: Secret Time,view_video_info,title_results,2018-09-17 14:23:18
Stephen,US,,0,bert kr,Bert Kreischer: Secret Time,play,video_info,2018-09-17 14:23:18
Stephen,US,,0,bert,Iliza Shlesinger: Freezing Hot,play,video_info,2018-09-17 07:46:49
Stephen,US,,0,bert,Iliza Shlesinger: Freezing Hot,view_video_info,title_results,2018-09-17 07:46:49
Stephen,US,,0,bert,Iliza Shlesinger: War Paint,play,video_info,2018-09-17 06:20:33
Stephen,US,,0,bert,Iliza Shlesinger: War Paint,view_video_info,title_results,2018-09-17 06:20:33
Stephen,US,Smart TV,0,dej,the loft,view_video_info,suggestion_title_results,2018-08-01 23:02:02
Stephen,US,Smart TV,0,dej,the loft,play,video_info,2018-08-01 23:02:02
Stephen,US,Smart TV,0,dej,deja vu,view_suggestion_info,suggestion_results,2018-08-01 23:01:30
Stephen,US,Smart TV,0,doctor,doctor who,view_suggestion_info,suggestion_results,2018-08-01 22:25:18
Stephen,US,Smart TV,0,e,the emoji movie,play,video_info,2018-07-30 21:24:49
Stephen,US,Smart TV,0,e,the emoji movie,view_video_info,title_results,2018-07-30 21:24:49
Stephen,US,Smart TV,0,20,oceans rising,view_video_info,suggestion_title_results,2018-07-30 16:55:15
Stephen,US,Smart TV,0,20,oceans rising,play,video_info,2018-07-30 16:55:15
Stephen,US,Smart TV,0,20,2012,view_suggestion_info,suggestion_results,2018-07-30 16:55:11
Stephen,US,Smart TV,0,magic,the magic school bus rides again,view_video_info,title_results,2018-07-26 19:25:27
Stephen,US,Smart TV,0,magic,the magic school bus rides again,play,video_info,2018-07-26 19:25:27
Stephen,US,Smart TV,0,fro,leap!,view_video_info,suggestion_title_results,2018-07-23 22:39:48
Stephen,US,Smart TV,0,fro,ballerina,play,video_info,2018-07-23 22:39:48
Stephen,US,Smart TV,0,fro,frozen,view_suggestion_info,suggestion_results,2018-07-23 22:39:31
Stephen,US,Smart TV,0,dr who,doctor who,view_suggestion_info,suggestion_results,2018-07-19 01:49:31
Stephen,US,Smart TV,0,dr who,sherlock,view_video_info,suggestion_title_results,2018-07-19 01:49:22
Stephen,US,Smart TV,0,dr who,doctor who,view_suggestion_info,suggestion_results,2018-07-19 01:48:49
Stephen,US,Smart TV,0,dr who,doctor who,view_suggestion_info,suggestion_results,2018-07-11 00:56:13
Stephen,US,Smart TV,0,frin,helix,view_video_info,suggestion_title_results,2018-06-02 06:28:35
Stephen,US,Smart TV,0,frin,helix,play,video_info,2018-06-02 06:28:35
Stephen,US,Smart TV,0,frin,frequency,play,suggestion_title_results,2018-06-02 06:28:13
Stephen,US,Smart TV,0,frin,frequency,view_video_info,suggestion_title_results,2018-06-02 06:28:13
Stephen,US,Smart TV,0,frin,the magicians,view_video_info,suggestion_title_results,2018-06-02 06:26:52
Stephen,US,Smart TV,0,frin,the magicians,play,video_info,2018-06-02 06:26:52
Stephen,US,Smart TV,0,frin,fringe,view_suggestion_info,suggestion_results,2018-06-02 06:26:27
Stephen,US,Smart TV,0,kid,barbie life in the dreamhouse,play,title_results,2018-05-30 19:17:38
Stephen,US,Smart TV,0,kid,barbie life in the dreamhouse,view_video_info,title_results,2018-05-30 19:17:35
Stephen,US,Smart TV,0,e,the emoji movie,play,video_info,2018-05-29 16:21:26
Stephen,US,Smart TV,0,e,the emoji movie,view_video_info,title_results,2018-05-29 16:21:21
Stephen,US,Smart TV,0,bo,the boss baby,play,video_info,2018-05-01 23:22:25
Stephen,US,Smart TV,0,bo,the boss baby,view_video_info,title_results,2018-05-01 23:22:21
Stephen,US,Smart TV,0,cha,-1,play,video_info,2018-04-30 07:54:16
Stephen,US,Smart TV,0,cha,charmed,play,video_info,2018-04-30 07:04:31
Stephen,US,Smart TV,0,cha,charmed,view_video_info,title_results,2018-04-30 07:04:23
Stephen,US,Xbox One,0,thev,the voices,view_suggestion_info,suggestion_results,2018-04-22 03:48:59
Stephen,US,Xbox One,0,i,lego marvel super heroes: avengers reassembled!,play,video_info,2018-03-31 19:53:19
Stephen,US,Xbox One,0,i,lego marvel super heroes: avengers reassembled!,view_video_info,suggestion_title_results,2018-03-31 19:53:19
Stephen,US,Xbox One,0,i,iron man,view_suggestion_info,suggestion_results,2018-03-31 19:53:00
Stephen,US,Android Phone,0,iron man,iron man,view_suggestion_info,suggestion_results,2018-03-29 02:21:24
Stephen,US,Smart TV,0,cop,alaska state troopers,add_to_list,video_info,2018-03-17 20:27:52
Stephen,US,Smart TV,0,cop,alaska state troopers,play,video_info,2018-03-17 20:27:43
Stephen,US,Smart TV,0,cop,alaska state troopers,view_video_info,title_results,2018-03-17 20:27:43
Stephen,US,Smart TV,0,cop,alaska state troopers,view_video_info,title_results,2018-03-17 20:27:07
Stephen,US,Smart TV,0,cop,alaska state troopers,play,video_info,2018-03-17 20:27:07
Stephen,US,Smart TV,0,lil,lilo & stitch 2: stitch has a glitch,play,video_info,2018-03-15 06:33:33
Stephen,US,Smart TV,0,lil,lilo & stitch 2: stitch has a glitch,view_video_info,title_results,2018-03-15 06:33:29
Stephen,US,Smart TV,0,lil,lilo & stitch 2: stitch has a glitch,play,video_info,2018-03-14 04:51:17
Stephen,US,Smart TV,0,lil,lilo & stitch 2: stitch has a glitch,view_video_info,title_results,2018-03-14 04:51:14
Stephen,--,Smart TV,0,4,-1,play,video_info,2018-03-13 03:15:55
Stephen,--,Smart TV,0,4,altered carbon,view_video_info,suggestion_title_results,2018-03-13 03:15:48
Stephen,US,Smart TV,0,4,4k,view_suggestion_info,suggestion_results,2018-03-13 03:15:24
Stephen,US,Android Phone,0,4k,marvel's jessica jones,view_video_info,suggestion_title_results,2018-03-12 16:34:12
Stephen,US,Android Phone,0,4k,4k,view_suggestion_info,suggestion_results,2018-03-12 16:34:07
Stephen,US,Android Phone,0,4k,bright,view_video_info,video_info,2018-03-12 16:33:52
