Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Zoie,"Victorious: Season 1: ""Sleepover at Sikowitz's""",LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:10:13,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1239000},{""eventType"":""playing"",""sessionOffsetMs"":3125,""mediaOffsetMs"":1239000},{""eventType"":""paused"",""sessionOffsetMs"":180147,""mediaOffsetMs"":1412202},{""eventType"":""stopped"",""sessionOffsetMs"":180546,""mediaOffsetMs"":1412262}]"
Zoie,"Dragons: Race to the Edge: Season 6: ""Ruff Transition""",LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:10:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3003,""mediaOffsetMs"":0}]"
Zoie,Season 1 Teaser: Super PupZ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:09:37,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2005,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":28827,""mediaOffsetMs"":26818},{""eventType"":""stopped"",""sessionOffsetMs"":30538,""mediaOffsetMs"":26611}]"
Zoie,DreamWorks Dragons: Race to the Edge: Season 6 (Trailer),LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:09:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2767,""mediaOffsetMs"":0}]"
Zoie,Top Gun_hook_05_16x9,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:09:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1653,""mediaOffsetMs"":0}]"
Zoie,"Fuller House: Season 2: ""Glazed & Confused""",Amazon TVAFTBL Smart TV,2022-05-24 04:38:31,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3031,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":32062,""mediaOffsetMs"":28865},{""eventType"":""stopped"",""sessionOffsetMs"":35026,""mediaOffsetMs"":27892}]"
Zoie,Season 1 Teaser: Super PupZ,Amazon TVAFTBL Smart TV,2022-05-24 04:38:23,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2433,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5421,""mediaOffsetMs"":3022},{""eventType"":""stopped"",""sessionOffsetMs"":8526,""mediaOffsetMs"":2348}]"
Zoie,Season 1 Teaser: Super PupZ,Amazon TVAFTBL Smart TV,2022-05-24 04:38:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3750,""mediaOffsetMs"":0}]"
Zoie,"Super PupZ: Season 1: ""Pilot""",Amazon TVAFTBL Smart TV,2022-05-24 04:17:16,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3045,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5973,""mediaOffsetMs"":2633},{""eventType"":""playing"",""sessionOffsetMs"":233965,""mediaOffsetMs"":2633},{""eventType"":""playing"",""sessionOffsetMs"":242742,""mediaOffsetMs"":11845},{""eventType"":""playing"",""sessionOffsetMs"":249813,""mediaOffsetMs"":18935},{""eventType"":""playing"",""sessionOffsetMs"":451138,""mediaOffsetMs"":220261},{""eventType"":""playing"",""sessionOffsetMs"":1163475,""mediaOffsetMs"":932598},{""eventType"":""playing"",""sessionOffsetMs"":1229043,""mediaOffsetMs"":998163},{""eventType"":""paused"",""sessionOffsetMs"":1261600,""mediaOffsetMs"":1030231},{""eventType"":""stopped"",""sessionOffsetMs"":1263680,""mediaOffsetMs"":1030813}]"
Zoie,"Super PupZ: Season 1: ""Saving Zeta""",Amazon TVAFTBL Smart TV,2022-05-24 04:16:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3051,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":44531,""mediaOffsetMs"":41396},{""eventType"":""reposition"",""sessionOffsetMs"":47784,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":48852,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":59771,""mediaOffsetMs"":10833},{""eventType"":""stopped"",""sessionOffsetMs"":68899,""mediaOffsetMs"":9820}]"
Zoie,Season 1 Teaser: Super PupZ,Amazon TVAFTBL Smart TV,2022-05-24 04:15:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2533,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":12496,""mediaOffsetMs"":9840},{""eventType"":""stopped"",""sessionOffsetMs"":13915,""mediaOffsetMs"":9951}]"
Zoie,Pet Stars: Season 1: Clip: Character Intro,Amazon TVAFTBL Smart TV,2022-05-24 04:15:43,US,"[{""eventType"":""start"",""sessionOffsetMs"":9265,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":10665,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":12182,""mediaOffsetMs"":1421},{""eventType"":""stopped"",""sessionOffsetMs"":15012,""mediaOffsetMs"":1572}]"
Zoie,"Super PupZ: Season 1: ""Saving Zeta""",LG 2017 LG M16p Standard UHD TV Smart TV,2022-05-23 06:57:15,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":18000},{""eventType"":""playing"",""sessionOffsetMs"":3178,""mediaOffsetMs"":18000},{""eventType"":""paused"",""sessionOffsetMs"":7369,""mediaOffsetMs"":19686},{""eventType"":""stopped"",""sessionOffsetMs"":3608750,""mediaOffsetMs"":19779}]"
